naam,QID,Facebook_ID,image,commons_category,LinkedIn_ID,Twitter_username,geboortejaar,sterfjaar
Alphonse Roersch,Q54086438,,,,,,1870,1951
August Vermeylen,Q764378,,AugustVermeylen2.jpg,August Vermeylen,,,1872,1945
Paul Fredericq,Q2659663,,Paul Fredericq.jpg,Paul Fredericq,,,1850,1920
Eduard De Jonghe,Q109883782,,,,,,1878,1950
Jean Kickx,Q1685616,,Jean Kickx00.jpg,Jean Kickx,,,1803,1864
Joseph Plateau,Q379993,,Joseph Plateau - clean.jpg,Joseph Plateau,,,1801,1883
Joseph Guislain,Q711213,,Dr Joseph Guislain buste.jpg,Joseph Guislain,,,1797,1860
Nicolas Du Moulin,Q105888633,,,,,,1827,1890
Parfait Namur,Q55233534,,,,,,1815,1890
Jan Hendrik Bormans,Q112263933,,,Jan Hendrik Bormans,,,1801,1878
Richard Boddaert,Q55233557,,,,,,1834,1909
Joseph Roulez,Q18197819,,,,,,1806,1878
Auguste Wagener,Q18654910,,,,,,1829,1896
Laurent-Guillaume de Koninck,Q900759,,De Koninck Laurent-Guillaume (1809-1887).jpg,,,,1809,1887
Emile Lahousse,Q105870887,,,,,,1850,1921
Daniel Van Duyse,Q55233131,,,,,,1852,1924
Omer Van Der Stricht,Q15910233,,,,,,1862,1925
Eugène Gilson,Q55233357,,,,,,1862,1908
Joseph Rémi Léopold Delbœuf,Q3184830,,Delboeuf 1891.JPG,Joseph Delboeuf,,,1831,1896
Gustave Callier,Q17428070,,,,,,1819,1863
Jean-Pierre Nuel,Q13639174,,Jean-Pierre Nuel-104.jpg,Jean-Pierre Nuel,,,1847,1920
Polynice van Wetter,Q55232634,,,,,,1844,1925
Louis Dehaut,Q55233156,,,,,,1805,1841
Mathias Schaar,Q54366245,,,,,,1817,1867
Jean-Auguste Stecher,Q18197817,,Jean Stecher.jpg,Jean Stecher,,,1820,1909
Guillaume Mahne,Q55233301,,"Portret van Willem Leonard Mahne, hoogleraar te Leiden BN 904.tif",Willem Leonard Mahne,,,1772,1852
Dominik Konstantin München,Q1237830,,,,,,1763,1818
Pierre Albert Lentz,Q55233400,,,,,,1804,1875
Constant-Philippe Serrure,Q2255092,,"Serrure, Constant Phillipe (1805-1872); historicus, bibliofiel, filoloog, Nauwens, Joseph, Felixarchief, 12 12821.jpg",Constant-Philippe Serrure (1805-1872),,,1805,1872
Henri Guillaume Philippe Moke,Q16945393,,,,,,1803,1862
François Huet,Q3084875,,"Huet, François (tombe, détail).jpg",François Huet,,,1814,1869
Joseph Gantrelle,Q49952538,,,,,,1809,1893
Joseph Fuerison,Q55233437,,,,,,1819,1901
Léon Wocquier,Q18197853,,,,,,1821,1864
Jacob Heremans,Q19986020,,JacobHeremans.jpg,,,,1825,1884
Frédéric Hennebert,Q18115180,,Portret van Frédéric Hennebert (1837-1873).jpg,Frédéric Hennebert,,,1837,1873
Oscar Merten,Q26869564,,,,,,1837,1912
Adhémar Motte,Q55233183,,,,,,1843,1902
Ernest Discailles,Q3056927,,,,,,1837,1914
Jules Van Biervliet,Q15723509,,,,,,1859,1945
Jan Jozef Matthijs Micheels,Q29019498,,,,,,1831,1897
Victor van der Haeghen,Q54856356,,,Victor van der Haeghen,,,1854,1916
Jozef Vercoullie,Q19985969,,,Jozef Vercoullie,,,1857,1937
Henri Logeman,Q37122380,,,,,,1862,1936
Louis de La Vallée-Poussin,Q1377635,,,Louis de La Vallée-Poussin,,,1869,1938
Joseph Bidez,Q549715,,JosephBidez.jpg,Joseph Bidez,,,1867,1945
Willem De Vreese,Q29019503,,WillemDeVreese.jpg,Willem De Vreese,,,1869,1938
Hubert Van Houtte,Q15429128,,,,,,1872,1948
Fernand Severin,Q3069341,,,Fernand Séverin,,,1867,1931
Albert Counson,Q2637781,,,,,,1880,1933
Paul Graindor,Q54086509,,,,,,1877,1938
Emile De Stoop,Q55233123,,,,,,1884,1913
Paul Bergmans,Q30093760,,,,,,1868,1935
Leo van Puyvelde,Q19997555,,Weekblad Pallieter - voorpagina 1923 39 leo van puyvelde.jpg,Leo Van Puyvelde,,,1882,1965
Emmanuel Balliu,Q55232908,,,,,,1800,1864
François Laurent,Q1384312,,François Laurent (1810-1887).jpg,François Laurent (lawyer),,,1810,1887
Jean-Baptiste Minne-Barth,Q15999,,Jean-Baptiste Minne-Barth.jpg,Jean-Baptiste Minne-Barth,,,1796,1851
Hubert Auguste Lefebvre,Q60840015,,,,,,1803,1875
Napoleon-Lievin de Pauw,Q18654812,,,,,,1800,1859
Hubert Brasseur,Q3141944,,,,,,1823,1890
Prosper de Haulleville,Q2113347,,,,,,1830,1898
Charles Waelbroeck,Q20871254,,Charles Waelbroeck.jpg,Charles Waelbroeck,,,1824,1877
François-Joseph Cantraine,Q2022624,,,,,,1801,1863
Franz-Peter Cassel,Q18654806,,,,,,1784,1821
Pierre Hensmans,Q55232833,,,,,,1792,1862
Albéric Allard,Q3608919,,,,,,1834,1872
Albert Callier,Q55233611,,,,,,1846,1920
Gérard Galopin,Q3123972,,,,,,1849,1921
Remi De Ridder,Q19988927,,,,,,1843,1930
Albéric Rolin,Q2640217,,,,,,1843,1937
Victor D'Hondt,Q313248,,Victor D'Hondt (1841-1901) .jpg,,,,1841,1901
Julius Obrie,Q55232762,,,,,,1849,1929
Georges Van Den Bossche,Q66735909,,,,,,1874,1935
Prosper de Pelsmaeker,Q55233306,,,,,,1867,1946
Charles de Visscher,Q872220,,Charles de Visscher (1884-1973).jpg,Charles De Visscher,,,1884,1973
Edmond Nicolaï,Q55232844,,,,,,1849,1927
Ferdinand Goffart,Q55233548,,,,,,1874,1917
Marcel Lauwick,Q55232367,,,,,,1877,1928
Désiré De Meulemeester,Q52220301,,,,,,1883,1975
Émile Auguste Joseph De Wildeman,Q2628388,,,Émile Auguste Joseph De Wildeman,,,1866,1947
Fernand Casters,Q55232718,,,,,,1882,1970
Johann Karl Friedrich Hauff,Q55122899,,,,,,1766,1846
Jean Guillaume Garnier,Q41569700,,,,,,1766,1840
Jacob Gijsbertus Samuël van Breda,Q956848,,Jacob van Breda.jpg,Jacob Gijsbertus Samuel van Breda,,,1788,1867
Cornelis Adriaan Bergsma,Q16508860,,Cornelis-Adriaan-Bergsma.jpg,,,,1798,1859
Edouard Jaequemyns,Q17428379,,,,,,1806,1874
Daniel Mareska,Q55232702,,GE-M-01 2004 0001 AC.tif,,,,1803,1858
Alexis Timmermans,Q55233098,,,,,,1801,1864
Louis Roelandt,Q2669964,,Universiteitsbibliotheek Gent - Portrait of architect Louis Roelandt (cropped).jpg,Louis Roelandt,,,1786,1864
Eloi Manderlier,Q87649226,,,,,,1795,1884
Amédée Bommart,Q2844628,,,,,,1807,1865
Ernest Lamarle,Q55233182,,,,,,1806,1875
Hubert Valérius,Q55233533,,,,,,1820,1897
Jean Manilius,Q87649227,,,,,,1807,1869
Charles Andries,Q19988390,,,,,,1821,1878
Emmanuel Boudin,Q55233348,,,,,,1820,1893
Maximilien Dugniolle,Q101094645,,,,,,1822,1903
Théophile Bureau,Q87648670,,,,,,1827,1884
François Donny jr.,Q20202960,,,,,,1822,1896
Diomède Rottier,Q100324940,,,,,,1833,1917
Gustave Van der Mensbrugghe‏,Q18654904,,,,,,1835,1911
Arthur Dubois,Q109552545,,,,,,1838,1913
Adolphe Pauli,Q17488132,,,Adolphe Pauli,,,1820,1895
Théodore Swarts,Q55232730,,Theodore Swarts.jpg,Theodore Swarts,,,1839,1911
Jean Jacques Kickx,Q323003,,,,,,1842,1887
Paul Mansion,Q3371764,,Paul Mansion.jpeg,Paul Mansion,,,1844,1919
,Q3371764,,"Paul Mansion. Photograph by Simon de Trex, 1916. Wellcome V0026810.jpg",,,,,
Félix Auguste Joseph Plateau,Q41280929,,,,,,1841,1911
Gustave Wolters,Q94897324,,,,,,1831,1914
Henri Schoentjes,Q87649408,,,,,,1848,1921
Jules Boulvin,Q52220148,,,,,,1855,1920
Junius Massau,Q20746579,,,,,,1852,1909
Armand Flamache,Q105094406,,,,,,1854,1935
François Merten,Q106881226,,,,,,1833,1911
Ernest Haerens,Q87648977,,,,,,1859,1947
François Van Rysselberghe,Q55233309,,François Van Rysselberghe (1846-1893).jpg,François Van Rysselberghe,,,1846,1893
Clément Servais,Q47456970,,,,,,1862,1935
Victor Foulon,Q87648939,,,,,,1858,1931
Alphonse François Renard,Q1893587,,Alphonse Renard by Alphonse de Tombay (Brussels) - september 2019.jpg,Alphonse-François Renard,,,1842,1903
Edmond van Aubel,Q10270456,,,Edmond van Aubel,,,1864,1941
Louis Cloquet,Q2673824,,Cloquet TW-C-01 2004 0001 AC.jpg,Louis Cloquet,,,1849,1920
Frederic Wolters,Q87649883,,,,,,1861,1952
Frédéric Swarts,Q979136,,,Frédéric Swarts,,,1866,1940
Alphonse Demoulin,Q2839768,,,,,,1869,1947
Jean-Florimond Vanderlinden,Q87649688,,,,,,1849,1926
Arthur Claeys,Q87648709,,,,,,1875,1949
Ortroy Fernand van,Q59628604,,,,,,1856,1934
Oscar Steels,Q87649452,,,,,,1870,1960
Eugène Cobbaert,Q87648715,,,,,,1864,1948
Xavier Stainier,Q55232776,,,,,,1865,1943
Jules Cornet,Q3188493,,Jules Cornet.jpg,Jules Cornet,,,1865,1929
,Q3188493,,Mons - Monument à Jules Cornet - 2020-07-03 - 04.jpg,,,,,
Joseph Richald,Q87649380,,,,,,1862,1950
Jules Meuwissen,Q13739857,,,,,,1871,1952
Modeste Stuyvaert,Q55233196,,,,,,1866,1932
Albert Mertens,Q49996294,,,,,,1882,1930
Émile Merlin,Q16831210,,,,,,1875,1938
Victor Willem,Q64830345,,,,,,1866,1952
Hector Lebrun,Q55232260,,,,,,1866,1960
Adolphe Burggraeve,Q2824786,,Adolphe Burggraeve.jpg,Adolphe Burggraeve,,,1806,1902
Hippolyte Kluyskens,Q55232651,,,,,,1807,1885
Floribert Soupart,Q18086808,,,,,,1810,1901
Alexis Lados,Q62075931,,,,,,1801,1879
Charles Amand Constantin Poelman,Q55070932,,,,,,1815,1874
Gustave Boddaert,Q109560909,,,,,,1836,1888
Victor Deneffe,Q20025017,,,,,,1835,1908
Charles Eugène Marie Van Bambeke,Q21611377,,,,,,1829,1918
Charles Van Cauwenberghe,Q55233295,,,,,,1841,1911
Edouard Bouqué,Q55232960,,,,,,1843,1902
Hector Leboucq,Q1117423,,Hector Louis François Leboucq.jpg,,,,1848,1934
Adolphe De Cock,Q55232956,,,,,,1848,1928
Camille Verstraeten,Q55232056,,,,,,1846,1928
Émile van Ermengem,Q1337255,,Ermengem.jpg,Émile van Ermengem,,,1851,1932
Eugène Eeman,Q105221913,,,,,,1856,1933
Jean-François Heymans,Q2534739,,Jan Frans Heymans 1859-1932 - Ghent - Belgium.jpg,Jan-Frans Heymans,,,1859,1932
Maurice Delacre,Q55232657,,,,,,1862,1938
Paul Van Durme,Q55232285,,,,,,1877,1947
Hector de Stella,Q105870867,,,,,,1869,1955
Frans Daels,Q2794691,,Fransdaels2.jpg,Frans Daels,,,1882,1974
Jules De Nobele,Q55233058,,,,,,1865,1946
Reimond Speleers,Q2454198,,"The Katyn Massacre, 1940 HU106203.jpg",Reimond Speleers,,,1876,1951
Jules Vernieuwe,Q105920537,,,,,,1877,1944
Jean-Norbert Cloquet,Q87648714,,,,,,1885,1961
Hermann de Baets,Q55233248,,,,,,1856,1922
Joseph De Block,Q14851973,,,,,,1806,1862
Victor-Camille De Brabandere,Q87648750,,,,,,1848,1929
Adolphe De Ceuleneer,Q55233088,,,,,,1849,1924
Frédéric de Kemmeter,Q55233018,,,,,,1810,1890
René Goubau,Q62090564,,,,,,1886,1976
August Kekulé,Q76784,,Frkekulé.jpg,August Kekulé,,,1829,1896
René Apers,Q49952439,,,,,,1888,1976
Leo Apostel,Q1391045,,L Apostel 1980.jpg,Leo Apostel,,,1925,1995
Frank Baur,Q11316278,,FrankBaur.jpg,Frank Baur,,,1887,1969
Edgard Blancquaert,Q18224979,,ZilverenAnjer1956.jpg,Edgard Blancquaert,,,1894,1964
Alexander Bolckmans,Q55232064,,,,,,1923,1990
Herman Bouchery,Q47458470,,,,,,1912,1959
Gaston Colle,Q3098951,,,,,,1881,1946
Walter Couvreur,Q2694260,,,,,,1914,1996
Franz De Backer,Q18643375,,,,,,1891,1961
Edouard De Bruyne,Q2642256,,,,,,1898,1959
William De Coster,Q55231979,,,,,,1920,2001
Paul De Keyser,Q48527386,,,,,,1891,1966
Sigfried De Laet,Q55232563,,,,,,1914,1999
Marcel Maeyer,Q20500860,,,Marcel Maeyer,,,1920,2018
Guy De Poerck,Q1524025,,,,,,1910,1996
Henri E. de Sagher,Q2012447,,,,,,1890,1940
Herman Jan de Vleeschauwer,Q1311475,,,,,,1899,1986
Gaston Dept,Q55233598,,,,,,1900,1946
René Derolez,Q2144578,,,,,,1921,2005
Jan Dhondt,Q2186319,,,,,,1915,1972
Maurice Dumont,Q55998159,,,,,,1918,1989
Jozef Duverger,Q19753983,,,,,,1899,1979
Paul Faider,Q52158604,,,,,,1886,1940
Robert Jan Vital Louis Foncke,Q56036043,,,,,,1889,1975
Victor Fris,Q2406020,,,,,,1877,1925
François-Louis Ganshof,Q476162,,,,,,1895,1980
Aloïs Gerlo,Q3247148,,,,,,1915,1998
Robert Guiette,Q2157380,,René Guiette.jpg,,,,1895,1976
Albert Henry,Q2602022,,,,,,1910,2002
Joseph Hombert,Q55232054,,,,,,1865,1949
Armand Janssens,Q55233366,,,,,,1907,1978
Jaap Kruithof,Q2212409,,Jaap Kruithof.jpg,Jaap Kruithof,,,1929,2009
Pieter Lambrechts,Q17428524,,,,,,1910,1974
August Leemans,Q55232377,,,,,,1903,1967
Georges Meir,Q41799505,,,,,,1900,1944
Louis Michel,Q98822791,,,,,,1906,1944
Cola Minis,Q21034022,,,,,,1912,1988
Louis Mourin,Q23060113,,,,,,1913,2005
Frans M. Olbrechts,Q42899837,,,,,,1899,1958
Willem Pée,Q2488691,,,,,,1903,1986
Jules Persyn,Q2140939,,Weekblad Pallieter - voorpagina 1923 29 jules persijn.jpg,Jules Persyn,,,1878,1933
Henri Edouard Pirenne,Q55233231,,,,,,1888,1935
Maurice Piron,Q558445,,,Maurice Piron,,,1914,1986
Robert Plancke,Q55233613,,,,,,1911,1993
Fabrice Polderman,Q42899875,,Gustave Van de Woestijne (1881-1947) - Portret van Fabrice Polderman - (1919) - MSK Gent 17-03-2009 12-29-59.JPG,,,,1885,1948
Wilfried Roels,Q55232094,,,,,,1926,2007
Domien Roggen,Q19997493,,,,,,1886,1968
Adriaan Scharpé,Q55232779,,,,,,1913,1986
Willem Schrickx,Q55233674,,,,,,1918,1998
Walter Thys,Q17375290,,Walter Thys.jpg,Walter Thys,,,1924,2015
Eugène Ulrix,Q1373581,,,,,,1876,1936
Herman Uyttersprot,Q41883726,,,,,,1909,1967
Raoul Van Caenegem,Q2248331,,,,,,1927,2018
André van de Vyver,Q102132124,,,,,,1898,1964
Hubert Van de Weerd,Q16222586,,,,,,1878,1951
Karel van de Woestijne,Q1813000,,KarelvandeWoestijneHenrivanStraten.jpg,Karel van de Woestijne,,,1878,1929
Paul Van de Woestijne,Q55232775,,,,,,1905,1963
Floris van der Mueren,Q42197738,,,,,,1890,1966
Toon Van Elslander,Q55232842,,,,,,1921,1999
Georges Van Langenhove,Q55233705,,,,,,1892,1943
Hans Van Werveke,Q2353470,,UtrechtHonDoct1961.jpg,Hans Van Werveke,,,1898,1974
Richard Verbist,Q34663707,,,,,,1911,2010
Jozef Verheyen,Q55232455,,,,,,1889,1962
Charles Verlinden,Q1066313,,,,,,1907,1996
Paul B. Coremans,Q15647037,,,,,,1908,1965
Antoine de Schryver,Q53673451,,,,,,1924,2005
Firmin De Smidt,Q17428147,,,,,,1904,1983
Ferdinand de Waele,Q2226342,,FJM de Waele.jpg,Ferdinand de Waele,,,1896,1977
Roger-Adolf d'Hulst,Q19754106,,,,,,1917,1996
Carl Hentze,Q21345716,,,Carl Hentze,,,1883,1972
Louis Lebeer,Q19754016,,,,,,1895,1986
Constant Leurs,Q2429168,,,,,,1893,1973
Frédéric Lyna,Q19753862,,,,,,1888,1970
Louis Speleers,Q54828374,,,,,,1882,1966
Henry van de Velde,Q154083,,Henry van de Velde S.jpg,Henry Van de Velde,,,1863,1957
Louis Vanden Berghe,Q2113749,,,,,,1923,1993
Jan Vandenhoute,Q55232670,,,,,,1913,1978
Armand Abel,Q1708455,,,,,,1903,1973
Daniël Ellegiers,Q55232725,,,,,,1921,2009
Gerard Janssens,Q48688082,,,,,,1923,1996
Jan Hublé,Q55233445,,,,,,1923,2009
Jean Blondeel,Q55232625,,,,,,1921,1994
Amaat Burssens,Q43140865,,,,,,1897,1983
Willy Calewaert,Q2606348,,,,,,1916,1993
Gerda De Bock,Q55233504,,,,,,1922,2011
Henry De Cock,Q55233162,,,,,,1880,1954
Jean de Halleux,Q55232217,,,,,,1868,1936
André de Ridder,Q2230862,,,,,,1888,1961
Lucien De Smet,Q55232312,,,,,,1922,1996
Fernand de Visscher,Q352619,,,,,,1885,1964
René Dekkers,Q2657342,,,,,,1909,1976
Willy Delva,Q55232352,,,,,,1921,1980
André Devreker,Q2254349,,,,,,1922,2012
Louis Fredericq,Q3261959,,,,,,1892,1981
Paul Ghysbrecht,Q15880585,,,,,,1927,1998
Jean Haesaert,Q51883408,,,,,,1892,1976
Armand Julin,Q55232805,,,,,,1865,1953
Albert Kluyskens,Q2298256,,,,,,1885,1956
Pierre Kluyskens,Q55232165,,,,,,1921,1980
Herman Lenaerts,Q55232413,,,,,,1923,2009
Jean Limpens,Q55232911,,,,,,1910,1979
Theo Luykx,Q42196928,,,,,,1913,1977
André Mast,Q55232747,,,,,,1910,1988
Laurent Merchiers,Q4770144,,,,,,1904,1986
Raoul Miry,Q47458554,,,,,,1889,1952
Maurice Orban,Q2350000,,,,,,1889,1977
Florent Peeters,Q55232482,,,,,,1909,1989
Hein Picard,Q42853895,,,,,,1925,1988
Robert Senelle,Q2720090,,,,,,1918,2013
Guido Spanoghe,Q55233667,,,,,,1910,1994
Jules Jacob Storme,Q83780821,,,,,,1887,1955
Elie Van Bogaert,Q2768359,,,,,,1919,1993
Georges Van der Kerken,Q55233242,,,,,,1888,1953
Jean Van Houtte,Q705128,,"Brussels, Palais de la Nation, Jean Van Houtte.jpg",Jean Van Houtte,,,1907,1991
Marcel Alfons Gilbert van Meerhaeghe,Q1910963,,Meerhaeghe.jpg,,,,1921,2014
Constant Vanhoudt,Q55232103,,,,,,1906,1996
Louis Varlez,Q2376273,,,,,,1868,1930
Frans Versichelen,Q112568614,,,,,,1908,1952
Marthe Versichelen,Q21517986,,,,,,1917,2015
René Victor,Q14256231,,,,,,1897,1984
André Vlerick,Q2788107,,,,,,1919,1990
Alfons Vranckx,Q1911939,,,Alfons Vranckx,,,1907,1979
Jan Wilms,,,,,,,1903,1985
Frans Blockmans,Q55233497,,,,,,1911,1962
Ricardo Aznar Casanova,Q55232517,,,,,,1881,1956
Victor De Ridder,,,,,,,1915,1979
George Gale,,,,,,,1876,1932
Oswald Rubbrecht,Q55232879,,,,,,1872,1941
Georg Schmiterlöw,,,,,,,1873,1959
Alfred Seresia,Q55232724,,,,,,1843,1901
Joseph Thiery,,,,,,,1885,1943
Gommaire Van Engelen,Q55232385,,,,,,1877,1963
Jérôme Rodhain,Q27056891,,Jerome Rodhain. Photograph after a painting by Elisabeth Vil Wellcome V0027753.jpg,Jérôme Rodhain,,,1876,1956
Michel Van Caeneghem,,,,,,,1893,1940
Robert van Nuffel,Q55232825,,,,,,1909,2004
Raphaël Vanalderweireldt,Q55232837,,,,,,1903,1987
Karel Verlat,,,,,,,1889,1944
Raymond Willemyns,Q55232007,,,,,,1909,1996
Maurits Basse,Q6793823,,,,,,1868,1944
Karel Bollengier,Q55232059,,,,,,1885,1959
Firmin Bosch,,,,,,,1914,1995
Armand Cerulus,Q87648699,,,,,,1895,1991
Jan Cnops,,,,,,,1893,1982
Guillaume De Smet,,,,,,,1882,1955
Walter De Sy,,,,,,,1937,2006
Alfons De Vries,Q87648787,,,,,,1906,1979
Georges De Witte,,,,,,,1903,1964
August Desmet,Q87648851,,,,,,1887,1964
Joseph Flachet,Q87649784,,,,,,1887,1949
Frederic Haus,,,,,,,1896,1993
Leopold Hendrickx,Q76883422,,,,,,1911,2001
Paul Heymans,Q1940640,,,,,,1895,1960
Alfons Lembrechts,Q87649197,,,,,,1891,1967
Emiel Loones,,,,,,,1902,1982
Gustave Magnel,Q2599852,,,Gustave Magnel,,,1889,1955
Charles Nijs,,,,,,,1883,1964
Gilbert Raes,Q47092282,,,,,,1914,2001
Paul Raes,,,,,,,1889,1975
Felix Riessauw,Q55232081,,,,,,1912,1999
Walter Soete,Q52220627,,,,,,1912,2002
Léon Tison,Q55232566,,,,,,1895,1982
Jules Trenteseau,Q60055663,,,,,,1913,1974
Alfons Van den Broeck,,,,,,,1885,1964
Daniël Vandepitte,Q16070285,,,,,,1922,2016
Frans Vanderheyden,Q87649684,,,,,,1903,1979
Severin Amelinckx,Q2172198,,,,,,1922,2007
Fernand Backes,Q109883781,,,,,,1897,1985
Julien Bilo,Q55232036,,,,,,1914,2006
Albert Claeys,,,,,,,1924,2001
Leo Coetsier,Q55232473,,,,,,1908,1968
Lucien De Coninck,Q50259143,,,,,,1909,1988
Jean de Heinzelin de Braucourt,Q2683659,,Jean de Heinzelin de Braucourt.JPG,,,,1920,1998
Carlo de Jans,Q87651830,,,,,,1880,1958
Willy Dekeyser,Q55231971,,,,,,1910,1993
Paul Dingens,Q55233268,,,,,,1916,1994
Paul Drumaux,Q47120427,,,,,,1883,1954
Rhudy Evens,Q55590205,,,,,,1919,1981
George Funke,,,,,,,1896,1946
Carl Grosjean,Q55233229,,,,,,1926,2006
Armand Hacquaert,Q2861863,,,,,,1906,1989
Julien Hoste,Q18654835,,,,,,1921,2011
Joseph Maes,Q53508663,,,,,,1882,1982
Robert Maréchal,,,,,,,1926,2005
Lucien Massart,Q3265631,,,,,,1908,1988
Roger Moens,,,,,,,1901,1981
Maurice Nuyens,Q55232914,,,,,,1901,1970
Fritz Quicke,Q55233141,,,,,,1895,1957
Arend Joan Rutgers,Q262807,,,,,,1903,1998
Alfred Schoep,Q2645846,,,,,,1881,1966
René Tavernier,Q17422049,,Tavernier René BESTOR Liber Amicorum.png,René Tavernier (geologist),,,1914,1992
Georges Van Grembergen,Q55232751,,,,,,1912,2007
Paul Van Oye,Q21522490,,,,,,1886,1969
Victor van Straelen,Q2413916,,,,,,1889,1964
Henri Vanderlinden,Q55232898,,,,,,1892,1983
Julien Verhaeghe,Q55233109,,,,,,1905,1972
René K. Verheyen,Q22107992,,,,,,1907,1961
Adriaan Verhulst,Q2222665,,,,,,1929,2002
Germain Verplancke,Q21611661,,,,,,1898,1964
Jules-Émile Verschaffelt,Q182896,,J.-E. Verschaffelt 1927.jpg,Jules-Émile Verschaffelt,,,1870,1955
Maurice Verzele,Q55232237,,,,,,1923,2008
Henri Fredericq,Q55232583,,,,,,1887,1980
Fritz De Beule,Q55233335,,,,,,1880,1949
Honoré Lams,Q55232887,,,,,,1883,1978
Achille J. Minne,Q36506113,,,,,,1874,1960
Marnix Van Duyse,Q55232767,,,,,,1885,1940
Henri De Waele,,,,,,,1876,1967
Corneille Heymans,Q156482,,Corneille Heymans nobel.jpg,Corneille Heymans,,,1892,1968
Norbert Goormaghtigh,Q1996795,,,,,,1890,1960
Jean Crocq,Q17354365,,JeanCrocq.png,Jean Crocq (psychiatrist),,,1868,1925
Jan Gillis,Q41900446,,,,,,1893,1978
Albert Bessemans,Q18612682,,,,,,1888,1973
Albert Jacques Joseph van de Velde,Q49952546,,"Portret van Albert J.J. van de Velde en Stijn Streuvels, Felix Timmermans, 1936, tekening, Letterenhuis (Antwerpen) - tg lhtk 8003 (cropped).jpg",,,,1871,1956
Edgard Tytgat,Q90687627,,,,,,1882,1951
Arthur De Groodt,Q55233104,,,,,,1883,1952
Maurice Hamelinck,Q19629060,,Maurice Hamelinck.png,Maurice Hamelinck,,,1882,1934
Jean-Jacques Van de Velde,,,,,,,1897,1961
Emile Lauwers,Q105888941,,,,,,1889,1946
Roger Soenen,Q108908963,,,,,,1902,1977
Jean-Jacques Bouckaert,Q22340681,,,,,,1901,1983
Vincent Evrard,Q95841252,,,,,,1896,1995
Max Adant,Q55233356,,,,,,1907,1957
Leo Elaut,Q15877793,,,,,,1897,1978
Paul Regniers,Q50822174,,,,,,1901,1971
Romain Ruyssen,Q55233529,,,,,,1901,1979
Frédéric Thomas,Q98753102,,,,,,1906,1986
Evert Gorter,Q2339461,,EvertGorter.jpg,Evert Gorter,,,1881,1954
Paul Arthur De Backer,Q16586635,,,,,,1883,1956
Frederik De Witte,Q55233479,,,,,,1892,1972
Hendrik Vanhouteghem,Q55232062,,,,,,1902,1949
Valère Louis Billiet,Q15049568,,,,,,1903,1945
Julien Fautrez,Q55232919,,,,,,1914,1995
Jacques De Busscher,Q17354378,,,,,,1902,1966
Jean Verbrugghe,Q6171647,,,,,,1896,1964
Emile Derom,Q55232306,,,,,,1898,1967
Jules François,Q20973333,,,Jules François,,,1907,1984
Laurent Vandendriessche,Q55233175,,,,,,1919,2013
Paul Van der Linden,,,,,,,1908,1974
Gaston Verdonk,Q55232853,,,,,,1913,2012
Kamiel Dierickx,Q55232255,,,,,,1914,2009
Marcel Sebruyns,Q55233161,,,,,,1912,1985
René Pannier,Q2714203,,,,,,1913,1994
Jean Piérard,Q110824830,,,,,,1900,1994
Henri Vander Eecken,Q55232130,,,,,,1920,
Aubin Heyndrickx,Q55232240,,,,,,1927,
Pieter Janssens,,,,,,,1910,2005
Isidoor Leusen,Q6080825,,,,,,1923,2010
Irène Van der Bracht,Q21515920,,,,,,1891,1941
Maurits Verdonck,Q55233526,,,,,,1879,1968
Marcel De Meestere,Q109883783,,,,,,1906,1968
Joseph Meulemans,,,,,,,1893,1968
Jan De Regt,Q55232339,,,,,,1899,1972
André Verstraete,,,,,,,1907,1992
Alfred De Waele,Q55232065,,,,,,1898,1969
Jan Bouckaert,,,,,,,1910,1967
Georges Peeters,,,,,,,1919,2014
René Willems,,,,,,,1907,1972
Jan Cnops,Q55232757,,,,,,1923,2012
Georges Leboucq,Q55233551,,,,,,1880,1958
Magd Abdel Wahab,Q48805606,,Magd Abdel Wahab.png,Magd Abdel Wahab,,,1966,
Ludo Abicht,Q4730107,,Ludo Abicht 675.jpg,,,,1936,
Rik Achten,Q55233191,,,,,,1955,
William Reynolds Beal Acker,Q62992318,,,,,,1907,1974
Mieke Adriaens,Q86189937,,,,,,1966,
Dominique Adriaens,Q29651158,,,,dominiqueadriaens,dadriaens,1970,
Antonia Aelterman,Q55232451,,,,,,1951,
Rudy Aernoudt,Q3446783,,Rudy Aernoudt 2013.jpg,Rudy Aernoudt,,,1960,
Peter Aerts,Q89093739,,,,,,1958,
Dirk Aeyels,Q55233457,,,,,,1950,
Marcel Afschrift,Q55232529,,,,,,1938,
Hamid Aghajan,Q55233709,,,,,,1962,
El-Houssaine Aghezzaf,Q55233074,,,,,,1965,
Rein Ahas,Q18639405,,Rein Ahas.jpg,Rein Ahas,,,1966,2018
,Q18639405,,Rein Ahas Villa Tammekannus.jpg,,,,,
Johan Albrecht,,,,,,,1968,
Frank Alderweireldt,Q55233351,,,,,,1931,
Ben Ale,,,,,,,1947,
André Alen,Q2372922,,,,,,1950,
Floris Alkemade,Q55233237,,"Floris Alkemade, March 2021.jpg",,,,1961,
Georges Allaert,Q15991911,,Georges Allaert.jpg,Georges Allaert,,,1948,
Karl Almqvist,,,,,,,1967,
Jean Ameryckx,Q55232731,,,,,,1926,1994
Christophe Ampe,Q55233570,,,,,,1960,
Christoph Anderl,Q55233402,,,,,,1963,
