naam,QID,Facebook_ID,image,commons_category,LinkedIn_ID,Twitter_username,geboortejaar,sterfjaar
Dirk Heirbaut,Q55232720,,,,,,1966,
Ann Heirman,Q21253959,,,,,AnnHeirman,1965,
Hendrik Hendrickx,Q55232501,,,,,,1944,
Jean Henriet,,,,,,,1945,2017
Christine Henriet-Iserentant,Q55233552,,,,,,1940,
Gerrit Herman,,,,,,,1948,
Jan Herman,Q55937447,,,,,,1958,
Peter Herman,,,,,,,1956,
Martin Hermy,Q55033849,,,,,,1956,
Uwe J Hesse,Q91290007,,,,,,1954,
Kris Heyde,Q2752483,,,,,,1942,
Freddy Heylen,Q55232210,,,,,,1963,
Louis Heylen,,,,,,,1947,
Geraldine Heynderickx,Q57102500,,,,,,1966,
Marc Heyndrickx,Q55232384,,,,,,1961,
Pierre Hilson,Q55232226,,,,,,1963,
Piet Hoebeke,Q27898335,,,,,hoebekepiet,1962,
Georges Hoffmann,,,,,,,,
Maurice Hoffmann,Q57444012,,,,,,1958,
Georges Hofman,Q55232582,,,,,,1942,
Monica Höfte,Q37338215,,,,,,1961,
Ivo Holmqvist,Q5811899,,,,,,1944,
Ewoud Hondius,Q62728999,,,,,,1942,
Albert Hoogewijs,Q55232712,,,,,,1946,
Anne Hoorens,Q98471376,,,,,,1964,
Leon Horsten,Q55232176,,,,,,1966,
Eric A. Hoste,Q39189970,,,,,,1964,
Patrick Humblet,Q55232494,,,,,,1956,
Ann Huysseune,Q55232970,,,,,,1957,
Christian Impens,Q102355632,,,,,,1947,
Dirk Inzé,Q2539349,,,,,,1957,
Dirk Iserentant,Q55232746,,,,,,1951,
Filip Jacobs,,,,,,,,
Franciscus Jacobs,,,,,,,1947,
Geert Jacobs,,,,,,,1966,
Gilbert Jacobs,,,,,,,,
Patric Jacobs,Q55233100,,,,,,1946,
Steven Jacobs,,,,,,,1967,
René Jacques,,,,,,,,
Constantin Jannes,Q55233028,,,,,,1942,
Mark Janse,Q6768232,,,,markjanse,,1959,
Caroline Janssen,Q55233693,,,,,,1962,
Colin Janssen,Q55232910,,,,,,1960,
Arnold Janssens,Q91027160,,,,,,1967,
Geert Janssens,Q102986815,,,,,,1967,
Paul Janssens,,,,,,,1943,
John Jonas,Q373943,,,,,,,
John Jones,,,,,,,1967,
Guy F Joos,Q42373986,,,,,,1956,
