volledige naam,QID,facebook,social media followers,image,commons,linkedin,twitter,gemeente,functie,partij
Jean Meyers,,,,,,,,Blankenberge,Gemeenteraadslid,
Jean Moureau,,,,,,,,Vilvoorde,Gemeenteraadslid,Vilvocraten
Jean Vanhees,,,,,,,,Beringen,,CD&V
Jean Zoao,,,,,,,,Drogenbos,,Drogenbos Plus
Jef Cleeren,Q2335512,,,,,,,Sint-Truiden,,CD&V
Jef Konings,,,,,,,,Brasschaat,,CD&V
Jef Maes,,,,,,,,,,PVDA
Jef Peremans,,,,,,,,Leuven,,Groen
Jef Plas,,,,,,,,Hamont-Achel,,PRO HAMONT-ACHEL
Jef Roos,,,,,,,,Hoogstraten,,Anders
Jozef Van Bree,Q21623524,,,,,,,Pelt,,LIJST VISSERS
Jens Eggers,,,,,,,,Keerbergen,,Open VLD
Jens Six,,,,,,,,Zonnebeke,,NVA
Jessica Nijs,,,,,,,,Riemst,Gemeenteraadslid,CD&V
Jinnih Beels,Q57197698,,,Jinnih beels-1549175542.jpg,Jinnih Beels,,,,,Vooruit
Jo Brouns,Q2742987,,3256,,,jo-brouns-51b68514,jobrouns1,Limburg,Burgemeester,CD&V
Jo Daems,,,,,,,,Keerbergen,Lid van de Raad voor Maatschappelijk Welzijn,
Jo Dardenne,,,,,,,,Borgloon,,sp.a
Jo De Clercq,Q1882774,,,Jo met de Banjo.jpg,Jo De Clercq,,,Herent,,sp.a
Jo De Ro,Q15126937,,,Jo De Ro - 2019.jpg,,,,Vilvoorde,,Open Vld
Joël Acke,,,,,,,,Jabbeke,,CD&V
Joël Adams,,,,,,,,Hoogstraten,,CD&V
Joël Noé,,,,,,,,Machelen,Gemeenteraadslid,
Jo Fonck,Q1868604,,,,,,,Denderleeuw,Burgemeester,LVB
Jo François,,,,,,,,Sint-Truiden,,N-VA
Johan Berben,,,,,,,,Asse,,ANDERS
Johan Braem,,,,,,,,Kortemark,,
Johan Caluwé,,,,,,,,Brasschaat,,Brasschaat2012
