volledige naam,QID,facebook,social media followers,image,commons,linkedin,twitter,gemeente,functie,partij
Claude Van Marcke,Q41826723,,,,,,,Anzegem,Burgemeester,
Claude Vanwelden,Q2544074,,,,,,,Zwevegem,Gemeenteraadslid,
Claudine De Pauw,,,,,,,,Wetteren,,Groen&Co
Claudio Rizzo,,,,,,,,Zelzate,Gemeenteraadslid,
Collins Nweke,Q20774322,col.nweke,,COLLINS NWEKE PROFILE - DD2013.jpg,Collins Nweke,,CollinsNweke,Oostende,,
Corinne François,,,,,,,,Drogenbos,,
Dalila Douifi,Q726712,,,,,,,Torhout,,
Daniël Cambron,,,,,,,,Kluisbergen,,Gemeentebelangen
Daniel Lemahieu,,,,,,,,Boom,Gemeenteraadslid,Onafhankelijk
Daniëlle Vanwesenbeeck,Q28530505,,,VanwesenbeeckDanielle (cropped).jpg,,,,Lubbeek,,Open VLD
Daniël Van Dam,,,,,,,,Vilvoorde,Gemeenteraadslid,N-VA
Daniël Vandendriessche,,,,,,,,,,CD&V
Daniël Vanhessche,Q2070094,,,,,,,Jabbeke,Burgemeester,CD&V
Danny Deneuker,Q17332686,,,,,,,Borgloon,Burgemeester,sp.a
Danny Van Hemelrijck,,,,,,,,Asse,,  ANDERS
Daphné Dumery,Q2757281,,2062,Daphné Dumery 2014.JPG,Daphné Dumery,,ddumery,Blankenberge,Burgemeester,N-VA
Dario Di Francesco,,,,,,,,Sint-Pieters-Leeuw,Lid van de Raad voor Maatschappelijk Welzijn,PF
Dave De Backer,,,,,,,,Merksem,Districtsraadslid,Vlaams Belang
Dave Van den Bergh,,,,,,,,Hove,,pH7 - Positief Hove
David Debruyne,,,,,,,,Houthulst,Lid van de Raad voor Maatschappelijk Welzijn,
David De Buyser,,,,,,,,Puurs,Gemeenteraadslid,CD&V
David Dessers,Q60484554,david.dessers,1698,David dessers-1584520174.jpg,,,David_Dessers,Leuven,,Groen
David Hermans,,,,,,,,Kapelle-op-den-Bos,,N-VA
David Huygens,,,,,,,,,,  CD&V
David Janssens,,,,,,,,Begijnendijk,,MGB
David Windels,,,,,,,,Assenede,Lid van de Raad voor Maatschappelijk Welzijn,
Denis Fraeyman,,,,,,,,Pittem,Burgemeester,CD&V
Diane Willems,,,,,,,,Tremelo,,CD&V
Didier Lebrun,,,,,,,,,,CD&V
Dirk Bisschop,Q2066720,,,,,,,Damme,Burgemeester,CD&V+
Dirk De Keyzer,,,,,,,,Oostrozebeke,,Oostrozebeke.nu
Dirk De Maeseneer,Q2192634,,,,,,,Melle,Burgemeester,    CD&V/N-VA
Dirk Goemaere,Q109451692,,,,,,,Zelzate,,  PVDA
Dirk Holemans,Q2786121,,4875,Dirk Holemans.jpg,,,ecodenker,Gent,Gemeenteraadslid,
Dirk Janssens,Q18285969,,,,,,,Erpe-Mere,,  LVBurger Open-VLD
Dirk Lodewijk,,,,,,,,Liedekerke,,sp.a
Dirk Van der Linden,,,,,,,,Hoogstraten,Gemeenteraadslid,
Dirk Van der Maelen,Q3029701,,,,,,,Geraardsbergen,,
Dirk Vandervelden,,,,,,,,Wemmel,Gemeenteraadslid,LB Wemmel
Dirk Van de Velde,,,,,,,,Eeklo,,CD&V
Dirk Van Duppen,Q2453313,,,Dirk van duppen-1580552492 (cropped).jpg,,,,Antwerpen,Gemeenteraadslid,PVDA+
Dirk Van Esbroeck,,,,,,,,Beveren,,    CD&V Beveren
Dirk Van Herzeele,Q49996382,,,,,,,Zottegem,,
Dirk Van Mechelen,Q837981,,,Dirk Van Mechelen.jpg,Dirk Van Mechelen,,,Kapellen,Burgemeester,Open VLD
Dirk Van Mulders,,,,,,,,Buggenhout,,      CD&V
Dirk Van Raemdonck,,,,,,,,Sint-Gillis-Waas,,N-VA
Dirk Vermeulen,,,,,,,,Alveringem,,CD&V
Dis Van Berckelaer,,,,,,,,Borsbeek,Burgemeester,BbA
Doenja Van Belleghem,,,,,,,,Brugge,,CD&V
Dolores David,,,,,,,,Brugge,,Vooruit Brugge
Domien Arnold,,,,,,,,Kalmthout,,    N-VA
Dominiek Sneppe,,,,,,,,Zedelgem,,Vlaams Belang
Dominique Carlier,,,,,,,,Wervik,Lid van de Raad voor Maatschappelijk Welzijn,
Dominique Cool,,,,,,,,Langemark-Poelkapelle,Burgemeester,N-VA
Dominique Defossez,,,,,,,,Malle,Gemeenteraadslid,DBM
Dominique Reyniers,,,,,,,,Wezembeek-Oppem,,LB-UNION
Dorien Herremans,,,,,,,,Lennik,Gemeenteraadslid,
Dragan Markovic,,,,,,,,,,Gemeentebelangen - Intérêts communaux
Ebubekir Dogan,,,,,,,,Antwerpen,Districtsraadslid,Vooruit
Eddie De Block,,,,,,,,Merchtem,Burgemeester,Open Vld
Eddy Horemans,,,,,,,,Herenthout,Gemeenteraadslid,CD&V
Eddy Van de Walle,,,,,,,,,,Sp.a
Eddy Vercammen,,,,,,,,Sint-Katelijne-Waver,Gemeenteraadslid,CD&V
Eddy Vermoesen,,,,,,,,Aartselaar,,N-VA
Edouard Wallays,,,,,,,,Ieper,,Open Ieper
Edwig Van Hooydonck,,,,,,,,Wuustwezel,Gemeenteraadslid,Open Vld
Eliane Spincemaille,,,,,,,,West-Vlaanderen,,CD&V
Elise Van der Linden,,,,,,,,Mortsel,Gemeenteraadslid,Groen
Elke Decruynaere,,,,,,,,Gent,,Groen
Ellen Coppens,,,,,,,,Waarschoot,Gemeenteraadslid,
Els Ceulemans,,,,,,,,Mol,,N-VA
Els De Rammelaere,Q2448683,,,Els de rammelaere-1451832456.jpg,,,,Tielt,Burgemeester,
Els Herremans,,,,,,,,Nijlen,,  Groen-Open Vld
Els van Doesburg,Q106563994,,,,,,,Antwerpen,,N-VA
Emiel Saerens,,,,,,,,Asse,,N-VA
Emma Hanssens,,,,,,,,Sint-Lievens-Houtem,Lid van het Bijzonder Comité voor de Sociale Dienst,
Engin Ozdemir,,,,,,,,Heusden-Zolder,,    Vooruit
Eric De Keyser,,,,,,,,Diksmuide,,sp.a-open
Eric Duchesne,Q27106566,,,,,,,Bonheiden,Gemeenteraadslid,BR
Eric Janssens,,,,,,,,Sint-Katelijne-Waver,,CD&V
Eric Kerckhof,,,,,,,,Harelbeke,Gemeenteraadslid,
Eric Lelièvre,,,,,,,,Sint-Truiden,Lid van het Bijzonder Comité voor de Sociale Dienst,
Eric Van Meensel,Q22955417,,,,,,,Grobbendonk,Burgemeester,N-VA
Eric Van Rompuy,Q451040,ericvanrompuy,,,,,,Zaventem,,CD&V
Erik Borgmans,,,,,,,,Balen,,CD&V
Erik De Wispelaere,Q2119866,,,,,,,Evergem,,
Erik Gilissen,Q65270445,,,,,,ErikGilissen,Beringen,,  VLAAMS BELANG
Erik Van der Aa,,,,,,,,Schelle,Lid van de Raad voor Maatschappelijk Welzijn,
Erik Van Roelen,Q57262755,,,,,,,Halen,Burgemeester,CD&V
Erné De Blaere,Q18655148,,,,,,,Knesselare,,
Erwin Willems,,,,,,,,Kortenberg,Gemeenteraadslid,
Eva De Bleeker,Q32315256,eva.debleeker,5546,Eva De Bleeker.jpg,Eva De Bleeker,evadebleeker,EvaDeBleeker,Hoeilaart,,Open Vld
Evelien Willems,,,,,,,,Merksplas,,leefbaar Merksplas
Evi Van der Planken,Q22691670,,,,,,,Berchem,Districtsburgemeester,N-VA
Farid Dahdouh-Guebas,,,,,,,,Zaventem,Gemeenteraadslid,sp.a
Ferdi De Ville,Q55233409,,,Ferdi de Ville (8673838195) (cropped).jpg,Ferdi De Ville,,,Ninove,Gemeenteraadslid,
Filiep De Vos,Q107487566,,,,,,,Wielsbeke,,CD&V
Filip Baeyens,,,,,,,,Sint-Niklaas,,N-VA
Filip Deckers,,,,,,,,Antwerpen,Districtsraadslid,
Filip Demeyer,,,,,,,,Destelbergen,,Open Vld
Filip De Wilde,Q1337051,,,,,,,Zele,,CD&V
Filip Gijssels,Q12476,,,,,,,Kaprijke,Burgemeester,SAMEN
Filip Godderis,,,,,,,,Ardooie,Gemeenteraadslid,
Filip Meirhaeghe,Q1385408,,,Filip Meirhaeghe.jpg,Filip Meirhaeghe,,,Maarkedal,,  Open Vld Maarkedal
Filip Monsieurs,,,,,,,,Meerhout,Gemeenteraadslid,N-VA
Filip Vermeiren,,,,,,,,Oosterzele,,CD&V/N-VA
Florian Vermeersch,Q67182830,,,Florian Vermeersch à l'issue de la 2e étape du Tour de l'Ain 2021.jpg,Florian Vermeersch,,FlorianVermeers,Lochristi,,    Open Vld
Floris Van den Broeck,,,,,,,,Opwijk,,    N-VA
Fons Borginon,Q2474440,,,Fons Borginon.jpg,Fons Borginon,,,Berchem,Districtsraadslid,Open Vld
Francesco Vanderjeugd,Q2765917,,,Francesco Vanderjeugd.jpg,Francesco Vanderjeugd,,,Staden,Burgemeester,Open VLD
Francies Debels,,,,,,,,Wevelgem,Gemeenteraadslid,
Francis Colman,,,,,,,,Bornem,Lid van het Bijzonder Comité voor de Sociale Dienst,Vlaams Belang
Franciscus Joos,,,,,,,,Sint-Amands,,L.O.S.
Franciscus Pals,,,,,,,,Borsbeek,,
Francis Marchand,,,,,,,,Steenokkerzeel,Lid van de Raad voor Maatschappelijk Welzijn,
Françis Schepens,,,,,,,,Retie,,
Francis Vermeiren,Q2317548,,,,,,,Zaventem,Burgemeester,Open Vld
François De Clercq,,,,,,,,Bornem,,CD&V
François De Keersmaecker,,,,,,,,Londerzeel,,CD&V
Françoise Herman,,,,,,,,,,Thuis in Bever
François Nobels,,,,,,,,Mechelen,,vld-groen-m+
François Suys,,,,,,,,Buggenhout,,      CD&V
François Van den Broeck,,,,,,,,Hamme,,N-VA
François van Hoobrouck d'Aspre,Q2340562,,,,,,,Wezembeek-Oppem,Burgemeester,LB-UNION
François  Vermeulen ,,,,,,,,Herentals,,Stadslijst
François Willems,Q39336745,,,,,,,Lebbeke,,      Open Vld
Frank Bruggeman,Q104173824,,,,,,,Zelzate,Burgemeester,Onafhankelijk raadslid
Frank Collier,,,,,,,,Niel,Lid van de Raad voor Maatschappelijk Welzijn,
Frank Creyelman,Q2932761,,,,,,,Mechelen,,Vlaams Belang
Frank De Clerck,,,,,,,,Dilbeek,,CD&V
Frank Deloffer,Q30139395,,,,,,,Alken,Gemeenteraadslid,CD&V
Frank Geudens,Q22677218,,,,,,,Deurne,,Vooruit
Frank Goossens,,,,,,,,Maaseik,,    CD&V
Frank Janssens,,,,,,,,Laarne,,N-VA
Frank Sierens,,,,,,,,Maldegem,,
Frank Van Den Bossche,,,,,,,,Herzele,,              Open Vld
Frank Van Erum,Q2982556,,,Frank-van-erum-1321221622.jpg,Frank Van Erum,,,,,Open VLD
Frank van Wijk,,,,,,,,De Haan,Gemeenteraadslid,bewust ' 12
Frank Willems,,,,,,,,Meerhout,,N-VA
Frank Wilrycx,Q2788977,,,Frank Wilrycx.jpg,,,,Merksplas,Burgemeester,leefbaar Merksplas
Frans D'hollander,,,,,,,,Zele,,
Frans De Cock,Q20856248,,,,,,,Westerlo,,OPEN & Positief Wlo
Frans Hermans,,,,,,,,Rijkevorsel,Gemeenteraadslid,CD&V
Frans Lefevre,,,,,,,,Nieuwpoort,,  CD&V
Frans Naessens,,,,,,,,De Pinte,Gemeenteraadslid,
Frans Schrauwen,Q26266253,,,,,,,Essen,,CD&V
Frans Van Dyck,,,,,,,,Rijkevorsel,Lid van de Raad voor Maatschappelijk Welzijn,
Frans Van Looveren,,,,,,,,Brecht,,CD&V - CDB
Frans Vromman,,,,,,,,Ieper,Lid van de Raad voor Maatschappelijk Welzijn,
Frans Wymeersch,Q2177456,,,,,,,Sint-Niklaas,,Vlaams Belang
Freddy De Vilder,Q2070323,,,,,,,Zelzate,Burgemeester,
Freddy Haegeman,,,,,,,,Waarschoot,,Open Vld
Freddy Vanmassenhove,Q2132511,,,,,,,Sint-Martens-Latem,Gemeenteraadslid,
Freddy Vermeiren,Q26132844,,,,,,,Niel,,Vooruit - Groen
Freddy Vranckx,Q2876537,,,,,,,Lubbeek,Gemeenteraadslid,
Frederic Devos,,,,,,,,Koksijde,,Lijst Burgemeester
Frederic van Haaren,Q107354967,,,,,,,Kapellen,,Open VLD
Frederik Boone,,,,,,,,Diest,,N-VA
Frederik Declercq,,,,,,,,Roeselare,,N-VA
Frederik De Keyzer,,,,,,,,Sint-Gillis-Waas,,
Frederik François,,,,,,,,Huldenberg,,OPEN VLD
Frederik Van den Berghe,,,,,,,,Lochristi,,    Open Vld
Freddy Willockx,Q466469,,,Sint-Niklaas gaat vreemd 31.jpg,Freddy Willockx,,,Sint-Niklaas,,
Freya Perdaens,Q64222346,,1727,,,,FPerdaens,Mechelen,,N-VA
Freya Van den Bossche,Q448454,,,Freya Van den Bossche.jpg,Freya Van den Bossche,,,Gent,Gemeenteraadslid,
Frieda Brepoels,Q450754,,,Frieda Brepoels 2.jpg,Frieda Brepoels,,,Bilzen,Burgemeester,N-VA
Frieda Gijbels,Q64137709,,1154,Frieda Gijbels (V-Dag Ecorealisme).jpg,,,FriedaGijbels,Oudsbergen,,  N-VA
Gabriella De Francesco,,,,,,,,,,Vld-Groen-M+
Gaby Colebunders,Q17428223,,,,Gaby Colebunders,,,Genk,,    PVDA+
Georges De Roo,,,,,,,,Gavere,,
Georges Hermans,,,,,,,,Tienen,,CD&V
Georges Lenssen,Q3103085,,,,,,,Maasmechelen,,  Open MM
Georges Lievens,,,,,,,,Jabbeke,,
Georges Nagels,,,,,,,,Lint,,CD&V
Georgios Karamanis,,,,,,,,Sint-Pieters-Leeuw,,PF
Gerald Kindermans,Q2585640,,,,,,,Heers,,  CD&V
Gerald Maddens,,,,,,,,Kortrijk,Lid van de Raad voor Maatschappelijk Welzijn,
Gerald Van Acker,,,,,,,,Schilde,Gemeenteraadslid,Onafhankelijk
Gerard Liefooghe,Q2662001,,,,,,,Alveringem,Burgemeester,GEMEENTEBELANGEN
Gerard Vandenbroucke,,,,,,,,Koksijde,Gemeenteraadslid,
Gerolf Annemans,Q2294644,,18352,Gerolf-annemans-1398165754.jpg,Gerolf Annemans,,gannemans,Antwerpen,,VLAAMS BELANG
Ghislain Vermassen,Q2840181,,,,,,,Maaseik,Gemeenteraadslid,VOORUIT!
Goedele Vermeiren,Q426589,,,,,,,Mortsel,,N-VA
Grégory Franck,,,,,,,,Zaventem,Lid van het Bijzonder Comité voor de Sociale Dienst,
Guido Janssens,,,,,,,,Zandhoven,Lid van de Raad voor Maatschappelijk Welzijn,
Guido Vaganée,,,,,,,,Bonheiden,Burgemeester,N-VA
Guido Van den Berghe,,,,,,,,Wetteren,,
Guido Verellen,,,,,,,,Herentals,Gemeenteraadslid,Onafhankelijk
Guillaume Devos,Q2314562,,,Guillaume Devos.jpg,Guillaume Devos,,,Ronse,,Open Vld
Guillaume Reynders,Q21587633,,,,,,,Diest,Gemeenteraadslid,Open Vld
Guy D'Haeseleer,,,,,,,,Zelzate,,
Guy D'haeseleer,Q2738899,,2342,Guy dhaeseleer -1618063506.jpeg,,,GuydhaeseleerVB,Ninove,,FORZA NINOVE
Guy D'Haeseleer,,,,,,,,Zelzate,,  VLAAMS BELANG
Guy D'haeseleer,Q2738899,,2342,Guy dhaeseleer -1618063506.jpeg,,,GuydhaeseleerVB,Ninove,,
Guy De Champs,,,,,,,,Sint-Genesius-Rode,Lid van de Raad voor Maatschappelijk Welzijn,
Guy Reynebeau,Q1927605,,,,,,,Gent,Gemeenteraadslid,
Guy Van Damme,,,,,,,,Zaventem,,
Guy Van Sande,Q2586555,,,Guy Van Sande.JPG,Guy Van Sande,,,Edegem,,N-VA
Gwenny De Vroe,Q2477874,,,Gwenny devroe -1485412502.jpg,Gwenny De Vroe,,,Kampenhout,,Open VLD
Hafsa El-Bazioui,Q113557850,,,,,,,Gent,,Groen
Hanne Goossens,,,,,,,,Aarschot,,    Vooruit
Hans Cornelis,,,,,,,,Beerse,,N-VA
Hans De Schepper,,,,,,,,Kalmthout,,Groen
Hans Driessens,,,,,,,,Blankenberge,Lid van de Raad voor Maatschappelijk Welzijn,
Hans Keldermans,,,,,,,,Mechelen,,VLAAMS BELANG
Hans Vandenberg,Q15876055,,,,,,,Bekkevoort,Burgemeester,CD&V
Hans Verbeeck,,,,,,,,,,N-VA
Hans Verboven,,,,,,,,Scherpenheuvel-Zichem,Gemeenteraadslid,
Harrie Hendrickx,Q26132856,,,,,,,Schoten,Gemeenteraadslid,CD&V
Harry Debrabandere,Q26132835,,,,,,,Lint,Burgemeester,N-VA
Harry De Wolf,,,,,,,,Sint-Gillis-Waas,,CD&V
Harry Hendrickx,Q20871267,,,,,,,Malle,Burgemeester,    DBM
Hedwig Jacobs,,,,,,,,Denderleeuw,,Vlaams Belang
Hélène Vanacker,,,,,,,,Ledegem,,sp.a
Hendrik Andries,,,,,,,,Sint-Katelijne-Waver,,
Hendrik Bellens,,,,,,,,Schilde,,N-VA
Hendrik De Vleeschouwer,,,,,,,,Kapelle-op-den-Bos,,N-VA
Hendrik Schoukens,Q31191681,,,,,,,Lennik,,Groen
Hendrik Van Damme,,,,,,,,Harelbeke,,
Hendrik Van de Veere,,,,,,,,Kaprijke,,CD&V - N-VA - Groen - Onafhankelijken
Hendrik Verbrugge,Q2671845,,,"Hendrik Verbrugge, maart 2009.jpg",,,,Limburg,Provincieraadslid,
Henk Heyerick,Q2211942,,,,,,,Oost-Vlaanderen,,CD&V
Henri Bloemen,,,,,,,,Bocholt,Gemeenteraadslid,Nieuwe Unie
Henri Evenepoel,,,,,,,,Ninove,,Open VLD
Henri Schenck,,,,,,,,Zoersel,Lid van de Raad voor Maatschappelijk Welzijn,
Henri Vanderlinden,,,,,,,,Hoeilaart,Gemeenteraadslid,
Henri Verschueren,,,,,,,,Zingem,Gemeenteraadslid,Open Vld
Henri Willems,,,,,,,,Opglabbeek,,Nivo 21
Herman Cambré,Q18225022,,,,,,,Grobbendonk,Burgemeester,sp.a
Herman Claeys,,,,,,,,Roosdaal,,CD&V
Herman De Croo,Q1351926,herman.decroo.1,,Herman de croo 675.jpg,Herman De Croo,,,Brakel,,
Herman De Croo,Q1351926,,,Herman De Croo (2015).jpg,,,,,,
Herman De Vos,,,,,,,,Zulte,Gemeenteraadslid,
Herwig Beckers,Q2482778,,,,,,,Leuven,,CD&V
Herwig Hermans,,,,,,,,Heusden-Zolder,,    N-VA
Hilde Bruggeman,Q2350115,,,,,,,Buggenhout,,      Open Vld
Hilde Deckers,,,,,,,,Leopoldsburg,,N-VA
Hilde De Lobel,Q3135598,,,,,,,Antwerpen,,
Hilde Dierickx,Q2391023,,,,,,,Dendermonde,Lid van de Raad voor Maatschappelijk Welzijn,
Hilde Kaspers,,,,,,,,Vlaams-Brabant,,N-VA
Hilde Van Dyck,,,,,,,,Willebroek,,CD&V
Hugo Cornelis,,,,,,,,Merksplas,,N-VA
Hugo De Waele,,,,,,,,Erpe-Mere,Burgemeester,CD&V
Hugo Vandaele,Q15876489,,,,,,,Beersel,Burgemeester,CD&V
Hugo Vankelecom,,,,,,,,Tervuren,,      N-VA
Ibrahim Al Farisi,,,,,,,,Duffel,Lid van het Bijzonder Comité voor de Sociale Dienst,Groen
Ignace De Baerdemaeker,Q2956531,,,,,,,Laarne,Burgemeester,Open Vld
Ignace Dereeper,Q2267072,,,,,,,Oudenburg,Burgemeester,
Ignace Michaux,Q113678672,,,,,,,Ronse,Burgemeester,CD&V
Ilse Vermeulen,,,,,,,,Heist-op-den-Berg,Gemeenteraadslid,CD&V
Imade Annouri,Q17350451,imade.annouri,6571,Imade Annouri - 2019.jpg,Imade Annouri,,imadeannouri,Antwerpen,,Groen
Imade Annouri,Q17350451,imadeannourigroen,,,,,,,,
Immanuel De Reuse,Q64706426,,,,,,,West-Vlaanderen,,VLAAMS BELANG
Inez De Coninck,Q17428129,,3032,,,inez-de-coninck-54448336,inez_deconinck,Opwijk,Burgemeester,N-VA
Inge Janssens,,,,,,,,Londerzeel,Lid van het Bijzonder Comité voor de Sociale Dienst,
Inge Vandenbussche,,,,,,,,Zwijndrecht,,N-VA
Inge Van Hove,,,,,,,,Laakdal,,
Ingrid De Vos,Q2188256,,,Ingriddv675.jpg,Ingrid De Vos,,,Ruiselede,Gemeenteraadslid,
Ingrid Holemans,Q114764508,,,,,,,Zaventem,Burgemeester,    Open Vld
Ingrid Jacobs,,,,,,,,Alken,,  Open Vld
Ingrid Kinders,,,,,,,,Stabroek,Gemeenteraadslid,sp.a - Groen
Ingrid Pierré,,,,,,,,Zwijndrecht,,Groen
Ingrid Rogiers,,,,,,,,Berlare,,
Irina De Knop,Q3154365,,,Irina de knop-1539677029.JPG,,,,Lennik,Burgemeester,LB
Iris Verhoeven,,,,,,,,Merksem,Districtsraadslid,N-VA
Isabelle Louis,,,,,,,,Jabbeke,,
isabel Rodriguez Garcia,,,,,,,,Kraainem,Gemeenteraadslid,CD&V
Jaak Brepoels,,,,,,,,Leuven,Gemeenteraadslid,sp.a
Jaak Van Assche,Q13734509,,,Jaak van Assche.jpg,Jaak Van Assche,,,Bonheiden,Gemeenteraadslid,CD&V
Jaak Van den Broeck,Q1969471,,,,,,,Hamme,Gemeenteraadslid,VLAAMS BELANG
Jacqueline Moreau,,,,,,,,Wemmel,,W.E.M.M.E.L
Jacqueline Schrijvers,,,,,,,,As,,CD&V
Jacqueline Wille,,,,,,,,Zomergem,,CD&V
Jacques Deroo,,,,,,,,Bredene,,Vooruit
Jacques De Ruyck,Q2531392,,,,,,,Deinze (voor fusie),Gemeenteraadslid,
Jacques Dujardin,,,,,,,,Tervuren,Gemeenteraadslid,Groen+
Jacques Grégoire,,,,,,,,Linkebeek,Lid van de Raad voor Maatschappelijk Welzijn,
Jacques Lepere,,,,,,,,Zonnebeke,Lid van de Raad voor Maatschappelijk Welzijn,
Jacques Mevis,,,,,,,,,,Groen
Jan Braeckmans,,,,,,,,Antwerpen,,CD&V
Jan Breugelmans,,,,,,,,Kalmthout,Gemeenteraadslid,CD&V
Jan Brouckmans,,,,,,,,Landen,,L'anders
Jan Brusselmans,,,,,,,,Waarschoot,,
Jan Ceulemans,,,,,,,,Wilrijk,Districtsraadslid,N-VA
Jan De Backer,,,,,,,,Denderleeuw,,Groen
Jan De Bruyne,,,,,,,,Stekene,,Gemeentebelangen
Jan De Decker,,,,,,,,Lichtervelde,,
Jan de Keyser,Q29935006,,,,,,,Oostkamp,Burgemeester,CD&V
Jan De Maesschalck,,,,,,,,,,Open Vld
Jan Dominicus,,,,,,,,Neerpelt,Lid van de Raad voor Maatschappelijk Welzijn,CD&V
Jan Hadermann,,,,,,,,Hoogstraten,,HOOGSTRATEN LEEFT
Jan Hendrickx,,,,,,,,Berlaar,,N-VA
Jan Jonckheere,,,,,,,,Merelbeke,,Open Vld
Jan Laeremans,Q65249320,,,Jan Laeremans Vlaams Parlement.jpg,,,Janlaeremans,Vlaams-Brabant,,VLAAMS BELANG
Jan Michielsen,,,,,,,,Herentals,,CD&V
Jan Moeyersons,,,,,,,,Sint-Amands,Gemeenteraadslid,L.O.S.
Jan Schrijvers,,,,,,,,Bocholt,,Nieuwe Unie
Jan Seynhaeve,Q3005818,,,,,,,Wevelgem,Burgemeester,      CD&V
Jan Snellings,,,,,,,,Sint-Niklaas,,Vlaams Belang
Jan Van Acker,,,,,,,,Diksmuide,,Idee Diksmuide
Jan Van Assche,,,,,,,,Hoeilaart,Gemeenteraadslid,CD&V
Jan Van Damme,,,,,,,,Herzele,,              Open Vld
Jan Van Den Bosch,,,,,,,,Roosdaal,,CD&V
Jan Van den Bossche,,,,,,,,Sint-Lievens-Houtem,,  NIEUW HOUTEM
Jan Van den broeck,,,,,,,,Rotselaar,Lid van de Raad voor Maatschappelijk Welzijn,
Jan Van der Heyden,,,,,,,,Aartselaar,,N-VA
jan Vanderhoeven,,,,,,,,Gooik,Lid van het Bijzonder Comité voor de Sociale Dienst,CD&V
Jan Van de Velde,,,,,,,,Niel,,        Open Vld
Jan Van Dijck,,,,,,,,,,Vlaams Belang
Jan Van Esbroeck,Q968689,,,,,,,Kalmthout,,    N-VA
Jan Van Herck,,,,,,,,Tremelo,,    CD&V
Jan Van Lerberghe,,,,,,,,Willebroek,Gemeenteraadslid,sp.a
Jan Van Leuven,,,,,,,,Brasschaat,Gemeenteraadslid,N-VA
Jan Van Looveren,,,,,,,,,,CD&V
Jan Van Raemdonck,,,,,,,,Kruibeke,Gemeenteraadslid,
Jan Van Wassenhove,,,,,,,,Sint-Martens-Latem,,Welzijn
Jan Vercammen,Q17429494,,,,,,,Ieper,Gemeenteraadslid,
Jan Verfaillie,Q1821583,,,,,,,Veurne,,CD&V
Jan Vermeulen,Q2338373,,,Jan Vermeulen.png,Jan Vermeulen (politician),,,Deinze (voor fusie),Burgemeester,CD&V
Jan Willekens,,,,,,,,Lommel,,CD&V
Jasmine Vangrieken,Q3195774,,,,,,,Lommel,,sp.a
Jasper Pillen,Q99937784,,,,,,,Brugge,,Open Vld
Jean De Block,,,,,,,,Merchtem,,N-VA
Jean Lambrecks,,,,,,,,Hasselt,Gemeenteraadslid,GROEI met Open Vld
Jean-Marie Dedecker,Q981442,,47374,LDD - Jean-Marie Dedecker (1).jpg,Jean-Marie Dedecker,,JMDedecker,Middelkerke,Burgemeester,LDD (lijst Dedecker)
Jean-Marie De Kimpe,,,,,,,,Merksem,,Vlaams Belang
Jean Nicolaes,,,,,,,,Riemst,,  CD&V
Jeannine Leduc,Q3176281,,,,,,,Wellen,Gemeenteraadslid,Open Vld
Jean Paul Grenier,,,,,,,,Drogenbos,,UF
Jean-Paul Peuskens,Q13736692,,,,,,,Limburg,,Vooruit
Jean-Pierre De Groef,Q17428133,,,Jeanpierre de groef-1511585612.jpg,,,,Machelen,Burgemeester,sp.a - spirit - groen
Jean-Pierre Hermans,,,,,,,,Lanaken,,CD&V - Lanaken
Jean-Pierre Willems,,,,,,,,Buggenhout,,      N-VA
Jef Van den Bergh,Q1974298,,,Jef Van den Bergh.jpg,,,,Kalmthout,,    CD&V
Jef Van den Eynde,,,,,,,,Westerlo,,N-VA
Jelle Engelbosch,Q17350564,,,,,,,Sint-Truiden,,    N-VA
Jelle Janssens,,,,,,,,Menen,Gemeenteraadslid,
Jeroen Claessens,,,,,,,,Vosselaar,Gemeenteraadslid,Vosselaar Vooruit
Jeroen De Cock,,,,,,,,Oosterzele,,
Jeroen Dillen,,,,,,,,Geel,Gemeenteraadslid,Groen
Jeroen Hendrikx,,,,,,,,Diepenbeek,,PUUR Diepenbeek
Jeroen Hofmans,,,,,,,,Halle,,N-VA
Jeroen Janssens,,,,,,,,Rotselaar,,anders
Jeroen Van den Bergh,,,,,,,,Ekeren,Districtsraadslid,CD&V
Jeroen Van Laer,,,,,,,,Edegem,,  Groen
Jessie Schrijvers,,,,,,,,Herk-de-Stad,,Open Vld
Joachim Coens,Q11002836,,,Coens675.jpg,Joachim Coens,,,Damme,Burgemeester,CD&V+
Joachim Riedel,,,,,,,,Hoeilaart,,
Joannes Braun,,,,,,,,Dilsen-Stokkem,,sp.a
Joannes Logghe,,,,,,,,Brugge,,CD&V
Joannes Michiels,,,,,,,,Westerlo,Gemeenteraadslid,CD&V
Jochen Janssens,,,,,,,,Haacht,Lid van het Bijzonder Comité voor de Sociale Dienst,
Johan Bollens,,,,,,,,Hoegaarden,,sp.a
Johan Cornelis,Q2103090,,,,,,,Nevele,Burgemeester,CD&V
Johan Deckmyn,Q2586579,,1299,Johan2.jpg,,,johandeckmyn,Gent,,Vlaams-Belang
Johan De Haes,,,,,,,,Vlaams-Brabant,Provincieraadslid,
Johan De Jonghe,,,,,,,,Zelzate,Gemeenteraadslid,
Johan De Muynck,,,,,,,,Zomergem,Gemeenteraadslid,
Johan De Ryck,Q59139857,,,,,,,Ranst,Burgemeester,N-VA
Johan De Rycke,Q20682861,,,,,,,Beernem,Burgemeester,CD&V
